,top
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,10
1963-01-01,20
1963-01-01,20
1963-01-01,20
1963-01-01,20
1963-01-01,20
1963-01-01,20
1963-01-01,20
1963-01-01,20
1963-01-01,20
1963-01-01,50
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,30
1963-01-01,40
1963-01-01,40
1963-01-01,50
1963-01-01,40
1963-01-01,40
1963-01-01,40
1963-01-01,40
1963-01-01,40
1963-01-01,40
1963-01-01,40
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,50
1963-01-01,60
1963-01-01,60
1963-01-01,60
1963-01-01,60
1963-01-01,60
1963-01-01,60
1963-01-01,50
1963-01-01,50
1963-01-01,60
1963-01-01,60
1963-01-01,70
1963-01-01,70
1963-01-01,70
1963-01-01,70
1963-01-01,50
1963-01-01,70
1963-01-01,70
1963-01-01,70
1963-01-01,70
1963-01-01,70
1963-01-01,80
1963-01-01,80
1963-01-01,80
1963-01-01,50
1963-01-01,80
1963-01-01,80
1963-01-01,50
1963-01-01,80
1963-01-01,80
1963-01-01,50
1963-01-01,90
1963-01-01,90
1963-01-01,90
1963-01-01,90
1963-01-01,90
1963-01-01,90
1963-01-01,90
1963-01-01,50
1963-01-01,90
1963-01-01,90
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-01,100
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,10
1963-01-08,20
1963-01-08,20
1963-01-08,20
1963-01-08,50
1963-01-08,20
1963-01-08,20
1963-01-08,20
1963-01-08,20
1963-01-08,20
1963-01-08,20
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,30
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,40
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,50
1963-01-08,60
1963-01-08,60
1963-01-08,60
1963-01-08,60
1963-01-08,60
1963-01-08,60
1963-01-08,50
1963-01-08,60
1963-01-08,60
1963-01-08,60
1963-01-08,70
1963-01-08,70
1963-01-08,70
1963-01-08,50
1963-01-08,50
1963-01-08,70
1963-01-08,70
1963-01-08,70
1963-01-08,70
1963-01-08,70
1963-01-08,80
1963-01-08,80
1963-01-08,80
1963-01-08,80
1963-01-08,80
1963-01-08,50
1963-01-08,80
1963-01-08,50
1963-01-08,80
1963-01-08,80
1963-01-08,90
1963-01-08,90
1963-01-08,90
1963-01-08,90
1963-01-08,90
1963-01-08,90
1963-01-08,50
1963-01-08,50
1963-01-08,90
1963-01-08,90
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-08,100
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,10
1963-01-15,20
1963-01-15,50
1963-01-15,20
1963-01-15,20
